Tweet_count,Usename,Name,Text,Retweets,Likes
30,Agapo🍀,Kochani ! Pełna Mobilizacja! Niedługo Wybory! 18 mają cała Polska rusza w bój na Wybory i głosuje na Karola Nawrockiego! Musimy być silni i zjednoczeni! Muszą nas być miliony i duża frekwencja! Każdy głos jest na wagę złota! Idziemy po Zwycięstwo! Nawrocki naszym Prezydentem! https://t.co/xqJQsS35fK,Tue Apr 22 02:57:14 +0000 2025,8,13
31,Waldemar PRAWY POLAK,18.05.2025 WYBORY PREZYDENCKIE TO BEDZIE  GŁOSOWANIE ZA ODWOŁANIEM TUSKA🇩🇪🇩🇪I CAŁEJ ZŁODZIEJSKIEJ EKIPY ‼️‼️‼️‼️‼️‼️‼️‼️GLOSUJMY NA PANA KAROLA NAWROCKIEGO POLAKA ‼️‼️‼️‼️‼️‼️‼️ https://t.co/7ewc9JfRT6,Thu Apr 24 16:35:02 +0000 2025,11,18
32,michniqremek,Wybory prezydenckie 2025. https://t.co/DrDJhJ8LJG,Sun Apr 20 05:36:33 +0000 2025,116,1057
33,Tomasz,"Naiwnie się łudzę, że wybory prezydenckie wygra dobry człowiek.  Karmię się nadzieją, że może jednak, coś wydarzy się takiego, że wbrew propagandzie mainstreamu, w kontrze do tego zupełnie antypolskiego, lewackiego rządu będziemy mieć pro-polskiego prezydenta. Czy jestem głupcem? https://t.co/J95jin0xvc",Mon Apr 21 19:09:52 +0000 2025,27,219
34,Konfederacja,"21% dla @SlawomirMentzen w dzisiejszym sondażu prezydenckim❗ To wzrost aż o 4 p.p.↗️, tymczasem kandydat PiS, Karol Nawrocki, zalicza spadek o 2 p.p.↘️   To kolejne badanie, w którym nasz kandydat notuje wynik z ""dwójką"" z przodu!  Drodzy wyborcy, jeśli nie chcecie, żeby tęczowy https://t.co/LuE2suGfve",Fri Mar 07 22:03:11 +0000 2025,185,2979
35,Kobiety na Wybory | Kobiety z Trzaskiem,"💜 Zbliżające się wybory prezydenckie w Polsce to nie tylko decyzja o tym, kto będzie nas reprezentował, ale też o tym, jak będą wyglądały prawa kobiet, rola młodych w podejmowaniu decyzji oraz nasze bezpieczeństwo.  🙌 Wierzymy, że Rafał Trzaskowski to kandydat, który ma https://t.co/msgOErqrNb",Sat Apr 26 15:58:04 +0000 2025,111,280
36,Andrzej Skiba,"Czy @Dulkiewicz_A  złamała prawo w kampanii wyborczej❓  Czy współrządząca ekipa, która popiera @trzaskowski_ , próbuje metodami administracyjnymi utrudnić @NawrockiKn  udział w podstawowym demokratycznym procesie, którym są wybory prezydenckie❓   Zapraszam na🧵 w temacie: 1/x https://t.co/PA88PleulO",Thu Apr 17 11:37:23 +0000 2025,23,61
37,Weronia 🇵🇱,"#mójprezydent:  1. Jest za życiem 2. Opowiada się za zrównaniem i podwyższeniem wieku emerytalnego, koniec z dyskryminacją mężczyzn 3. Popiera przywrócenie kary śmierci. 4. Ma swoje zdanie i nie klęczy przed UE, Ameryką, Rosją ani Niemcami - ma własną wizję Polski. 5. Jest za",Fri Jan 24 14:24:45 +0000 2025,24,415
38,Marcin Warchoł,"Rząd @donaldtusk z drożyzną nie tylko sobie nie radzi, ale cały czas ją pompuje.  ⁦@NawrockiKn⁩ ma realne propozycje obniżenia cen. Musi tylko wygrać wybory prezydenckie.#Nawrocki2025 🇵🇱#DrożyznaTuska  materiał ⁦@wPolscepl⁩ https://t.co/bPBf6PSfMd",Sat Apr 19 15:05:17 +0000 2025,42,151
39,Sycylia 🇵🇱🇪🇺❤️🇮🇪🍀🇮🇹,"Skoro PIS i media dostają euforii po ostatnich sondażach, to teraz petarda .  🔥 by jajeczko lepiej smakowało. Sondaż Prezydencki Opinia24 :   ♥️ Rafał Trzaskowski 34,1 % 👺 Nawrocki 21,6 % 🤡 Memcen 12,9 % 🤡 Hołownia 6,1 %0",Thu Apr 17 14:11:56 +0000 2025,300,950
40,Wiemy 𝕏YZ,"Marsz tysiąclecia - 1000 lat koronacji Polski - Miłosz Lodowski  ⏲️ Środa, 16 kwietnia, godz. 2⃣1⃣ :0⃣0⃣  🔻🔻🔻  1⃣ Tysiąclecie Korony Polskiej - marsz tysiąclecia. 2⃣ Czy Polacy są zdolni odbudować narodową wspólnotę? 3⃣ Wybory prezydenckie - debata w Końskich i w TV Republika. https://t.co/7eKJU4xoZq",Tue Apr 15 22:55:16 +0000 2025,17,29
41,Aneczka 🇵🇱,🇵🇱Wybory Prezydenckie  Bitwa o Polskę - 18.05.2025 😎 https://t.co/vc6OVXCZuv,Mon Apr 21 13:21:30 +0000 2025,4,11
42,🇵🇱✌️Jupiter💯🇵🇱,"Czują że przegrają wybory prezydenckie i przyspieszają z ubogaceniem Polski w inżynierów pod osłoną nocy, nie wiem jak to się skończy,ale raczej nie będzie happy endu🤔 https://t.co/U63uoADgXZ",Tue Apr 22 06:14:56 +0000 2025,105,270
43,Jan Szczerba(k),"Wybory za 3 tyg 5 dni,czyli 26 dni. Idziemy  wybierać Rafała Trzaskowskiego na Prezydenta Polski.Rafał to najbardziej odpowiedzialny kandydat na Prezydenta. Nie głosujemy na Mencena,którego polityka jest rusko-średniowieczna i Nawrockiego,którego polityka też jest rusko-mafijna",Tue Apr 22 04:08:27 +0000 2025,1,5
44,Małgorzata,"@AnnaWielopolsk1 @smutnahistoria Nie  zniszczą , bo Nas się  nie da zniszczyć. Wytrzymaliśmy 8 lat  rządów PiS, 10 lat  pRezydentury .Wygraliśmy 15X2023 to i Wygramy Wybory Prezydenckie. Zróbmy to w maju #Trzaskowski2025 to będzie NASZ PREZYDENT. #CalaPolskaNaprzód https://t.co/BvGU3n3IeY",Wed Apr 23 07:33:38 +0000 2025,7,18
45,marta rudkowska #Trzaskowski2025,"Wybory prezydenckie to moment, w którym każdy obywatel ma realny wpływ na przyszłość swojego kraju.     To nie tylko przywilej, ale przede wszystkim odpowiedzialność.✌️ #Trzaskowski2025  #TrzaskowskiPrezentemPolski https://t.co/e1hVPxVVEl",Sat Apr 26 19:59:41 +0000 2025,8,21
46,Andrzej Holinka 🇵🇱 #Nawrocki2025 🇵🇱 ✌️,"Wybory prezydenckie już za dwa miesiące. 'Ludzie, otwórzcie oczy!' - mocny apel Czarnka https://t.co/ercDp1kEug",Tue Mar 18 14:43:56 +0000 2025,178,373
47,Koneser Unii Europejskiej,❗️PILNE❗️  Różnica ok 200 tys głosów  Nawrocki ma trend zwyżkowy  Najprawdopodobniej Nawrocki zostanie Prezydentem https://t.co/eqQjELNbHY,Thu Apr 17 07:20:31 +0000 2025,269,2718
48,Bee,"Konklawe, wybory prezydenckie, wycofanie wojsk amerykańskich spod Rzeszowa, zapasy amunicji na trzy dni obrony, cła na Chiny 110%, deficyt na 100-lecie Lasów Państwowych. Bez znaczenia. Kobiety średniowieczne nadal podtrzymują bieg świata. Poeta Grochowiak lubi to. https://t.co/8YKZfEZt7z",Mon Apr 21 16:54:16 +0000 2025,2,48
49,Agata Agata #Trzaskowski2025,Uwaga Polacy mieszkający zagranicą! Rejestrujcie się na wybory prezydenckie!  #Trzaskowski2025,Sat Apr 26 18:55:03 +0000 2025,91,160
50,radecky™ 🇵🇱🇪🇺 #Trzaskowski2025,"Za 30 dni wybory prezydenckie. Od nas zależy jaka będzie Polska przez kolejnych 5 lat. Czy będzie to Polska otwarta, tolerancyjna, silna i bezpieczna, czy będzie to Polska zakompleksiona, odizolowana międzynarodowo, dzieląca obywateli na lepszych i gorszych oraz ułaskawiająca https://t.co/4xxbjzPsgm",Fri Apr 18 10:25:38 +0000 2025,79,175
51,Dariusz S,"@Cenckiewicz Wygrywamy wybory prezydenckie, obalamy rząd i połowa nowego rządu haruje aby wyciągnąć na z bagna, a druga zajmuje się powołaniem Trybunału na wzór Norymbergi! Zawieszamy członkostwo w UE i kto wie czy nie przywrócić najwyższej kary!",Wed Apr 23 10:25:27 +0000 2025,5,74
52,Pasjonata 🇵🇱,"KAROL NAWROCKI W OGB PRO WYGRYWA 2 TURĘ WYBORÓW PREZYDENCKICH  I to plus pierwsza tura stanowi prawdziwe odzwierciedlenie sytuacji sondażowej w Polsce. Jest dobrze, trzeba walczyć dalej.",Mon Jan 27 07:17:11 +0000 2025,31,202
53,Jacek Piekara,"Oto sedno tego o co chodzi w wyborach prezydenckich: ♦️""Zdecydujemy, czy Polska będzie istniała. Czy będziemy Polakami, czy unijczykami. W pierwszej turze głosujemy rozumem i sercem. A w drugiej turze głosujemy patriotyzmem, czy chcemy Polski, czy nie"" - @jakubiak_marek",Fri Apr 11 18:29:20 +0000 2025,86,334
54,e-Janusz Ch. 🛷,"@trzaskowski_ Ludzie, to są wybory prezydenckie czy konkurs na cosplay zwykłych Polaków? Gdzie i kim są prawdziwi Trzaskowscy? https://t.co/OrMj5xrNRX",Tue Apr 22 20:53:15 +0000 2025,4,27
55,Piotrdotcom 🇵🇱🇪🇸🇫🇷🇪🇺 #SilniRazem,Prezydent atakuje rząd na konwencji Nawrockiego⬇️ https://t.co/1bZpoUSvLz https://t.co/XE1SP8csEG,Sun Apr 27 14:08:54 +0000 2025,2,8
56,Janina Świetochowska,@PolakzPol Polacy głosujmy na Karola Nawrockiego przyszłego Prezydenta Polski 🇵🇱🇵🇱🇵🇱 nie możemy głosować przeciw sobie nam nie potrzebne          *rekiny i węże i śpiewka yebacpis chcemy tradycji obyczajów kultury wiary spokoju 🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱❤️,Fri Apr 25 18:11:57 +0000 2025,0,0
57,Maria Weronika,"@kurpinski_piotr @donaldtusk @pisorgpl @Dariusz_Jonski @trzaskowski_ @WiolaPaprocka @kobietynawybory @Trzaskowski2O25 Niewątpliwie to wybory o wszystko!O Trybunał Konstytucyjny,Sąd Najwyższy,Służby Specjalne, bezpieczeństwo zdrowotne,gospodarcze.  Przyszłość dzieci i młodzieży,zabezpieczenie niepełnosprawnych.I wiele innych gałęzi życia.Wreszcie wolność decyzyjna prezydenta. #Trzaskowski2025 🇵🇱",Fri Apr 25 13:17:48 +0000 2025,3,11
58,Analityczny Umysł,"Wybory prezydenckie. Wyniki tego ""trzeciego"":  1995: Jacek Kuroń – 9,22%   2000: Marian Krzaklewski – 15,57%   2005: Andrzej Lepper – 15,11%   2010: Grzegorz Napieralski – 13,68%   2015: Paweł Kukiz – 20,80%   2020: Szymon Hołownia – 13,87%",Fri Apr 04 12:41:59 +0000 2025,10,747
59,CBOS,Wybory prezydenckie 🇵🇱: twardy elektorat + potencjalny:  1⃣ @trzaskowski_ 35% + 7% = 42% 2⃣ @SlawomirMentzen 21% + 10% = 31% 3⃣ @NawrockiKn 23% + 7% = 30%  ➡️Pierwsza tura wyborów prezydenckich – elektoraty pozytywne i negatywne na początku marca: https://t.co/3C68ZKCouk https://t.co/a47Mn0PmCV,Tue Mar 11 12:54:41 +0000 2025,38,326
60,dr n pr. Marek Woch,.@tvn24 Chce zmienić system polityczny w Polsce. Kim jest kandydat na prezydenta Marek Woch https://t.co/h2GmUQZuxR  Źródło zdjęcia głównego: Leszek Szymański/PAP https://t.co/NgiigoA9bi,Sat Apr 26 07:04:00 +0000 2025,2,15
61,Janusz,"#Klubrepubliki Wygra wybory prezydenckie Trzaskowski Polska będzie zalana nielegalną migracją,A cofnąć fakt będzie za późno bądźmy mądrzy przed szkodą .Nie fajny się otumanić tej lewackiej władzy https://t.co/4EHfwkHDTi",Sun Apr 27 20:37:48 +0000 2025,0,3
62,Jacek Wilk,SZOK I NIEDOWIERZANIE  Prawie dwadzieścia tysięcy spośród Pańtwa wzięło udział w mojej skromnej ankiecie (!!!)  Dziękuję wszystkim razem i każdemu z osobna za oddany w tej ankiecie głos - jestem pod ogromnym wrażeniem Państwa zaangażowania!  Wyników samej ankiety nie komentuję -,Mon Jan 20 16:52:21 +0000 2025,25,242
63,Waldemar PRAWY POLAK,ŚWIADOME NISZCZENIE POLSKI ‼️‼️‼️‼️‼️‼️‼️ONI WIEDZĄ ŻE PRZEGRAJĄ WYBORY PREZYDENCKIE A NASTĘPNIE BĘDĄ NOWE WYBORY KTÓRE PRZEGRAJĄ Z KRETESEM ! SPIESZĄ SIĘ BY WYKONAĆ POLECENIE BERLINA !!!!!!!!!!! NIE GŁOSUJCIE NA TRZASKOWSKIEGO TRZEBA ICH ODSUNĄĆ OD WŁADZY  BY OCALIĆ POLSKĘ ‼️‼️ https://t.co/4wkHPlGe0B,Wed Apr 23 11:45:04 +0000 2025,395,823
64,Victor,"Przy świątecznym stole rozmawialiśmy o polityce. Kiedy zeszło na wybory prezydenckie, cała rodzina zgodnie przyznała że najlepszym wyborem będzie @trzaskowski_. Rozmowa szła w najlepsze, kiedy ktoś zauważył że wszyscy nieświadomie przeszliśmy na francuski. To było niesamowite.",Mon Apr 21 06:42:26 +0000 2025,35,909
65,Jan Kot,"Już za 3 tygodnie wybory prezydenckie... Pogrzebmy pis, raz na zawsze...👍👍👍😉 https://t.co/4dlZC7JHUs",Sun Apr 27 06:13:08 +0000 2025,24,88
66,Margaret 🇵🇱✝️🌹#ReparationsForPoland🇵🇱,"Jest nadzieja, że ten tuskowy cyrk się zakończy, tylko Karol Nawrocki musi wygrać wybory prezydenckie. Zejdźmy z kanap i na wybory licznie się stawmy🇵🇱✌",Thu Apr 24 13:57:30 +0000 2025,8,18
67,Łowca Androidów ©,"PiS przegra wybory prezydenckie z hukiem. Będzie płacz, „oszustwa”, „media nas trolują” i cała ta żenująca liturgia porażki. A potem zacznie się spektakl zrzucania winy. Wszystko pójdzie na starego wodza – że już nie kontaktuje, że przynosi wstyd, że śpi za długo i mówi za dużo. https://t.co/6m6qhsGMzK",Thu Apr 24 20:43:15 +0000 2025,60,255
68,Robert Winnicki,"Wyniki ostatniego sondażu prezydenckiego wskazują, że: 1️⃣ Rafał Trzaskowski nie może być pewny wygranej w II turze; zgodnie z tym co przewidywałem koalicjanci są „wysysani” z poparcia ale to niewiele pomaga jeśli wszyscy kandydaci Centrolewu (licząc z Zandbergiem) nie dobijają",Tue Mar 04 08:56:27 +0000 2025,18,366
69,Agapo🍀,Idziemy po Zwycięstwo! 18 mają w Wyborach głosujemy na Karola Nawrockiego! To nasz Prezydent! Nikt nas nie pokona i nie zastraszyć! Nie ma innej opcji i nie będzie! Karol Nawrocki musi Zwyciężyć! Do boju Polacy! Pełna mobilizacja! Szturmem walimy na Wybory i łomot tym łajzom!,Tue Apr 22 14:01:27 +0000 2025,2,5
70,Gazeta Lekarska,"18 maja odbędą się #wybory prezydenckie. Od wielu tygodni trwa festiwal obietnic. Kandydaci do pełnienia najważniejszego urzędu w Polsce unikają mówienia o reformie ochrony zdrowia – podkreślali uczestnicy debat podczas @EECKatowice, w tym prezes @NaczelnaL Łukasz Jankowski. https://t.co/uiykPRozl9",Fri Apr 25 10:17:44 +0000 2025,0,2
71,Małgorzata,"@artur_smiech @AndrzejekMitura #SiódemkaTeam wie , że będzie dobrze. 18 maja dokończymy to, co zaczęliśmy 15X2023 ‼️🇵🇱❤️🤍 #FighterRafał wygra te wybory prezydenckie. 👍✌️👊💪 https://t.co/CSeS0i8Vf1",Tue Apr 22 14:27:27 +0000 2025,21,34
72,WICKET #BRAUN2025🧯,"Pojawił się Latarnik Wyborczy na wybory prezydenckie 2025, który pozwala na wgląd w dokładne odpowiedzi poszczególnych kandydatów. Jest ich 20 i pozwoliłem sobie na ustosunkowanie się do nich 🧵⬇️  https://t.co/4IvY7j6Z2r https://t.co/XNImP1OWMX",Thu Apr 24 12:01:48 +0000 2025,20,134
73,TVN24+,"🗳️ | Pierwsze wybory prezydenckie po upadku komunizmu o mały włos zakończyłyby się polityczną sensacją. Jak to możliwe, że nieznany polityk porwał za sobą miliony Polaków?  Cykl @KonradPiasecki ""Tajemnice III RP"" już w @tvn24plus: 🔗https://t.co/jasH6vyPII https://t.co/XLlyGGQ4l6",Sun Apr 27 08:01:53 +0000 2025,8,10
74,🇵🇱 Antyfarmazon 🇵🇱💪,"Klich ambasadorem w USA? Sikorski zdradził plan, który szykuje władza O ile nadchodzące wybory prezydenckie wygra Trzaskowski to Klich tę nominację otrzyma. Bo, jak twierdzi szef MSZ, politycy PiS tylko sobie wymyślają powody, by oczerniać byłego ministra obrony narodowej😉👇 https://t.co/t61za9N2oR",Wed Apr 23 19:14:07 +0000 2025,23,51
75,Super Express,Najnowszy #sondaz prezydencki. Na kogo oddalibyście głos? https://t.co/b1WAOECQZq #wyboryprezydenckie,Mon Feb 24 16:27:06 +0000 2025,1315,1211
