Tweet_count,Name,Text,Retweets,Likes,Date
68,Paweł,@ewyboryeu Kiedy będzie  wasza sonda uliczna przeprowadzona na wybory prezydenckie w Polsce 2025 ( 1 Tura)?,0,8
69,🇵🇱Polka🇵🇱,"P. Banaś  będzie za wszelką cenę szukał ""haków"" w @ipngovpl. Nawet brak przecina w piśmie, będzie powodom do negatywnej oceny pracy instytutu, na którego czele stoi przyszły Prezydent Pan dr Karol Nawrocki. Taaak, oni wiedzą, że przegrają wybory prezydenckie. P. Tusk robi",24,64
70,MariusOMIP2,Warszawska ulica - czy taki nieporządek również będzie w🇵🇱jak niechcący wybory prezydenckie 2025 POtocza się w złą stronę ⁉️ https://t.co/UOA0lEbrTN,0,0
71,dr Piotr Napierała,Piątek 19:00 Wybory prezydenckie 2025 - rozmowa z Tomaszem Wiejskim @okiemtomkaw,3,18
72,Michał Wójcik 🇵🇱 #PolEXIT,Wybory prezydenckie 2025 (prognoza): 🟧 Rafał Trzaskowski 38% 🟦 Karol Nawrocki 22% ⬛ Sławomir Mentzen 15% 🟫 Grzegorz Braun 10% 🟨 Szymon Hołownia 4% 🟪 Adrian Zandberg 4% 🟥 Magda Biejat 2% 🟦 Marek Jakubiak 2% ⬜ Krzysztof Stanowski 2% ◻️ Inni 1%  Frekwencja: 60%,3,54
73,CBOS,Wybory prezydenckie 🇵🇱: twardy elektorat + potencjalny:  1⃣ @trzaskowski_ 35% + 7% = 42% 2⃣ @SlawomirMentzen 21% + 10% = 31% 3⃣ @NawrockiKn 23% + 7% = 30%  ➡️Pierwsza tura wyborów prezydenckich – elektoraty pozytywne i negatywne na początku marca: https://t.co/3C68ZKCouk https://t.co/a47Mn0PmCV,38,327
74,🇵🇱Polka🇵🇱,🔴 Zapraszamy ‼️ 👇 Wszelkie informacje poniżej 👊👍🌹🇵🇱♥️🌹 #Prezydent2025 @NawrockiKn @Nawrocki25 @Andruszkiewicz1 @szefernaker @KlubyGP @sjkaleta @TABochenski Obecność obowiązkowa ✌️ 🇵🇱 https://t.co/FztNMRTmi9,104,192
75,tvn24,"Jacek Hoga kieruje fundacją, której celem jest wprowadzenie prawa do posiadania broni. W jednej z wypowiedzi ocenił, że ""chłop pańszczyźniany miał więcej wolności"" w tej kwestii niż obywatel RP.  https://t.co/o9EoRjo543",4,15
76,Patriota🇵🇱 #ŚWO,Wybory prezydenckie AD'2025 i moje hasło wyborcze #zanim_unia_runie_śmierć_tęczowej_komunie Głosujcie sercem i sumieniem Byle szczerze.,0,1
77,RYBA🐳#🐋,WYBORY PREZYDENCKIE 2025!Głos oddany na Konfederacje to głos na Pis!! https://t.co/IkUjnHAV8t,0,0
78,FAST INFO,Wybory prezydenckie odbędą się oficjalnie 18 maja. Ewentualna druga tura zaplanowana jest na 1 czerwca 🗳️ https://t.co/7DiUMd11aV,2,531
79,Fan ekstraklapy,@MarcinPalade Kłamiesz https://t.co/HbDOOLdrZL,0,6
80,Marek Skalski,"""Frekwencja przerosła wszelkie oczekiwania"". Braun przedstawił swoją trójkę na wybory prezydenckie [FOTO] - https://t.co/4EHkb1GFmG https://t.co/yEtELy6eza",48,247
81,Fakty RMF FM,"""Musimy walczyć o dodatkowy dzień urlopu dla tych, którzy planują dziecko"" - oświadczył w sobotę na spotkaniu w Płocku na Mazowszu kandydat Trzeciej Drogi na prezydenta Szymon Hołownia. https://t.co/DYYnISwITs",34,427
82,Michał Wójcik 🇵🇱 #PolEXIT,Wybory prezydenckie 2025 (prognoza): 🟧 Rafał Trzaskowski 37% 🟦 Karol Nawrocki 28% ⬛ Sławomir Mentzen 17% 🟨 Szymon Hołownia 5% 🟫 Grzegorz Braun 5% 🟪 Adrian Zandberg 3% 🟥 Magda Biejat 2% 🟦 Marek Jakubiak 1% ◻️ Inni 2%  II tura: 🟧 Rafał Trzaskowski 50% 🟦 Karol Nawrocki 50%,1,29
83,🌐 ᴛʜᴇᴘᴏʟᴀɴᴅɴᴇᴡs 🌐,🗳️ | Marszałek Sejmu Szymon Hołownia ogłosił daty tegorocznych wyborów prezydenckich w Polsce. Pierwsza tura odbędzie się 18 maja. Termin drugiej tury to 1 czerwca. https://t.co/dayEUm1qDg,26,2335
84,𝔹𝕖𝕒𝕥𝕒,"▪️ Krzysztof Jackowski o wyborach prezydenckich. ""Nie podam, kto wygra, ale powiem że jeżeli dojdzie do wyborów, to  𝐧𝐢𝐞 𝐰𝐲𝐠𝐫𝐚 ich Szymon Hołownia i Rafał Trzaskowski "" Kto wygra wybory prezydenckie 2025? https://t.co/RZbovC3yyy",11,19
85,🇵🇱Polka🇵🇱,"🔴 Ważna informacja 🔴  Kochani, mobilizujemy Polaków i głosujemy 18 maja 2025 r. na Pana dr Karola Nawrockiego w wyborach na Prezydenta Polski 👇 @NawrockiKn @Nawrocki25 @Andruszkiewicz1 @szefernaker",202,397
86,Ostatnia Prosta,‼️Dr Sławomir J. Mentzen OFICJALNIE PIERWSZYM kandydatem w wyborach prezydenckich w 2025r. 😁,12,459
87,Krzysztof Hubert Cumberdale,Sławomir Mentzen wygra wybory prezydenckie 2025. Tak mi dopomóż Bóg.,0,0
88,PatryQ #TonyStark2025,"podsumowując wybory prezydenckie 2025: - Sławomir Mentzen: poproszę o inne pytanie, poproszę o mądrzejsze pytanie, kobieta nie jest taka mondra jak menszczyzna, z czym mi tu pani wylatuje - Karol Nawrocki: opowiem ci, rzeczy o które nie zostałem zapytany, daj dokończyć  Kurtyna..",0,0
89,✝️🇵🇱Kngger_King🇵🇱✝️,"Oto moje przewidywania wyborcze 2025:  🏳️‍🌈 Rafał Trzaskowski - 31,2% 🇺🇦 Karol Nawrocki - 22.5% ✡️ Sławomir Mentzen - 12.8% ✝️ Grzegorz Braun - 9.11% 😭 Szymon Hołownia -  6.5% 📺 Krzysztof Stanowski - 5.3% 🟪 Adrian Zandberg - 3.4% 🇪🇺 Magdalena Biejat - 2.7%  Pozostali - 6.49%",9,167
90,wPolityce.pl,Wybory prezydenckie odbędą się 18 maja. @Nawrocki25 @NawrockiKn: To data symboliczna. To dzień urodzin największego z Polaków - papieża Jana Pawła II https://t.co/tLiCTRfyXB,69,203
91,Andrzej Krajewski,"Niezależnie kto wygra wybory prezydenckie, już niemal na pewno przegra je Lewica oraz PL 2025 Jednocześnie Lewicę rozkładają kompletnie zdegenerowane kadry. PL 2025 sama się rozkłada Dwaj kluczowi koalicjanci KO w stanie agonalnym zaledwie po 1,5 roku rządzenia",13,111
